technology,package_download_speed,region,sample_size,avg_download_speed,sd_download_speed,avg_upload_speed,sd_upload_speed,avg_download_speed_ci95_lower,avg_download_speed_ci95_upper,avg_upload_speed_ci95_lower,avg_upload_speed_ci95_upper
FTTC,38,East,66,27.2,8.9,6.2,2.5,25,29.4,5.6,6.8
FTTC,38,East Midlands,45,28.3,8.7,6.4,2.6,25.6,30.9,5.6,7.2
FTTC,38,London,16,34.3,4.1,7.5,2.2,32.1,36.5,6.3,8.6
FTTC,38,North East,16,30.7,7.9,6.4,2.5,26.5,34.9,5.1,7.8
FTTC,38,North West,63,28.4,8.4,6.3,2.6,26.3,30.6,5.7,7
FTTC,38,Northern Ireland,21,26.8,9.4,5.2,3.2,22.6,31.1,3.8,6.7
FTTC,38,Scotland,80,28.7,7.7,6.3,2.6,27,30.4,5.7,6.8
FTTC,38,South East,102,29.9,7.5,6.5,2.5,28.5,31.4,6,7
FTTC,38,South West,60,30.2,7,6.9,2.3,28.4,32,6.3,7.5
FTTC,38,Wales,39,28.3,8.3,6.4,2.3,25.6,31,5.6,7.1
FTTC,38,West Midlands,30,29.2,8.5,6.9,2.4,26,32.4,6,7.8
FTTC,38,Yorkshire & Humberside,40,32,6.9,7.1,2.4,29.8,34.2,6.4,7.9
FTTC,76,East,114,59.6,12.4,16.1,3.5,57.3,61.9,15.4,16.7
FTTC,76,East Midlands,65,61.1,10.6,17,2.7,58.5,63.8,16.3,17.7
FTTC,76,London,49,63.6,11.4,16.8,2.9,60.3,66.9,16,17.7
FTTC,76,North East,50,60,11.5,16.3,3.3,56.7,63.2,15.4,17.3
FTTC,76,North West,113,59.8,12.8,15.8,3.9,57.4,62.2,15,16.5
FTTC,76,Northern Ireland,30,67,8.4,17,2.9,63.9,70.1,15.9,18.1
FTTC,76,Scotland,95,58.9,14.3,16.5,3.3,55.9,61.8,15.8,17.1
FTTC,76,South East,189,59.3,12.5,16.2,3.5,57.5,61.1,15.7,16.7
FTTC,76,South West,105,62.3,12.8,16.6,3.3,59.9,64.8,16,17.3
FTTC,76,Wales,76,62.2,11.5,16.1,3.6,59.5,64.8,15.3,16.9
FTTC,76,West Midlands,76,60.5,12.9,16.5,3.2,57.6,63.5,15.7,17.2
FTTC,76,Yorkshire & Humberside,66,59.9,13.6,16.3,3.5,56.6,63.2,15.4,17.2
